year,co2
1990,22184.273978144
1991,22662.921002877
1992,21966.606838225
1993,22192.437120864
1994,22389.768557467
1995,22899.380490177
1996,23564.961321769
1997,23677.037651923998
1998,23549.458225737
1999,24064.350960974
2000,24723.156551607
2001,24909.397226012
2002,25462.425930298
2003,26816.992787342
2004,27699.941096537
2005,28653.287903885
2006,29597.06784955
2007,30444.200637156
2008,30984.120658658998
2009,30490.854700268
2010,32237.286749997
2011,33365.639097138
2012,33852.793933565
2013,34157.658036848
2014,34342.717398651
2015,34242.617537367
2016,34214.957503945
2017,34765.471570719
2018,35489.582653876
2019,35838.606813497
2020,34310.227664822
2021,35978.964781536
2022,36553.533082472
2023,37003.069894848
2024,37398.064425660996
