country,co2,population
China,12289.03711,1419321284.0
United States,4904.119629,345426566.0
India,3193.478027,1450935785.0
Russia,1780.524414,144820421.0
Japan,961.8673096,123753041.0
Indonesia,812.2202148,283487933.0
Iran,792.6311646,91567737.0
Saudi Arabia,692.1334839,33962751.0
South Korea,583.6791382,51717587.0
Germany,572.3191528,84552234.0
Canada,533.3400879,39742429.0
Turkey,513.0346069,87473800.0
Brazil,483.0115356,211998565.0
Mexico,460.9876404,130861001.0
South Africa,439.8305054,64007187.0
Australia,386.7323914,26713206.0
Vietnam,370.9313354,100987685.0
United Kingdom,312.9055481,69138185.0
Italy,301.9297485,59342870.0
Malaysia,290.2238464,35557670.0
Kazakhstan,287.0059509,20592574.0
Poland,272.8618164,38539209.0
Thailand,267.7601929,71668010.0
France,264.1556091,66548532.0
Taiwan,262.3448181,23213964.0
Egypt,258.3678589,116538256.0
Iraq,233.635498,46042015.0
United Arab Emirates,221.9880829,11027135.0
Spain,220.3412781,47910533.0
Algeria,198.203186,46814302.0
Pakistan,179.8003845,251269160.0
Philippines,174.878006,115843663.0
Argentina,171.0592651,45696153.0
Ukraine,142.4978485,37860221.0
Uzbekistan,139.2341766,36361859.0
Nigeria,135.8240051,232679482.0
Kuwait,129.5186462,4934508.0
Qatar,125.8122559,3048429.0
Venezuela,116.0424271,28405544.0
Netherlands,114.784729,18228740.0
Bangladesh,108.3178787,173562366.0
Colombia,92.65938568,52886360.0
Belgium,85.45619965,11738761.0
Oman,82.66197205,5281542.0
Turkmenistan,81.0055542,7494494.0
Chile,78.72554016,19764774.0
Czechia,75.6230011,10735857.0
Peru,70.2466507,34217850.0
Morocco,69.06234741,38081176.0
Romania,68.55139923,19015096.0
Libya,65.2600708,7381029.0
North Korea,62.55027008,26498832.0
Austria,56.36765671,9120815.0
Belarus,55.8184166,9056696.0
Singapore,53.9194603,5832387.0
Greece,53.36083984,10047813.0
Israel,52.63713455,9387015.0
Ecuador,45.97954941,18135478.0
Mongolia,44.69388962,3475541.0
Serbia,42.0194397,6736217.0
Hungary,40.01729202,9676135.0
Azerbaijan,39.83013916,10336577.0
Bahrain,39.00345612,1607059.0
Sweden,38.09665298,10606993.0
Norway,37.18299866,5576656.0
Portugal,35.53885269,10425291.0
Trinidad and Tobago,34.57627869,1507778.0
Hong Kong,33.32391739,7414914.0
Ireland,33.31062317,5255016.0
Dominican Republic,33.13081741,11427558.0
Tunisia,32.66369629,12277103.0
New Zealand,32.47943115,5213942.0
Switzerland,32.07170868,8921979.0
Syria,31.7784481,24672758.0
Bulgaria,31.62182426,6757686.0
Myanmar,31.60343742,54500086.0
Finland,29.77499962,5617311.0
Slovakia,29.09095764,5506759.0
Bolivia,28.70866394,12413318.0
Denmark,28.36916161,5977417.0
Cuba,24.44023323,10979781.0
Laos,24.39992523,7769823.0
Jordan,23.21913719,11552885.0
Angola,22.33358383,37885854.0
Cambodia,21.88269043,17638804.0
Kenya,21.22543335,56432946.0
Ghana,21.02187347,34427417.0
Sri Lanka,20.82554436,23103561.0
Tanzania,20.01836395,68560162.0
Guatemala,19.88043022,18406366.0
Bosnia and Herzegovina,19.42593193,3164256.0
Nepal,18.77608109,29651054.0
Croatia,18.46484947,3875325.0
Ethiopia,17.83729172,132059770.0
Sudan,17.7947998,50448960.0
Lebanon,15.64997292,5805962.0
Cote d'Ivoire,14.82858467,31934229.0
Senegal,14.09184551,18501988.0
Zimbabwe,13.70115376,16634366.0
Honduras,12.85484219,10825704.0
Slovenia,12.751194,2118692.0
Panama,12.66442776,4515576.0
Lithuania,12.54150867,2859112.0
Brunei,12.05246258,462734.0
Zambia,12.04329872,21314962.0
Georgia,11.78425789,3807668.0
Kyrgyzstan,11.77015781,7186014.0
Afghanistan,10.82599831,42647502.0
Tajikistan,10.73976803,10590930.0
Yemen,10.12308979,40583173.0
Cameroon,9.631583214,29123748.0
El Salvador,8.972290993,6338197.0
Congo,8.839770317,6332969.0
Costa Rica,8.760451317,5129909.0
Mozambique,8.61262989,34631767.0
Jamaica,8.401762962,2839182.0
Papua New Guinea,8.345441818,10576509.0
Estonia,8.306777,1360548.0
Uruguay,7.973269939,3386583.0
Paraguay,7.936717987,6929152.0
Botswana,7.461598873,2521145.0
Armenia,7.430715084,2973843.0
Cyprus,7.29932785,1358287.0
Luxembourg,7.039783001,673042.0
Equatorial Guinea,7.010352135,1892523.0
Mali,6.978839874,24478597.0
North Macedonia,6.619636059,1823011.0
Burkina Faso,6.507662773,23548782.0
Latvia,6.46188879,1871874.0
Uganda,6.333809853,50015091.0
Benin,6.066339016,14462721.0
Democratic Republic of Congo,5.904450893,109276264.0
Nicaragua,5.630345821,6916136.0
Gabon,5.398794174,2538953.0
Moldova,5.326842785,3034967.0
New Caledonia,5.286636829,292655.0
Mauritania,5.238678932,5169403.0
Palestine,4.780045986,5495447.0
Mauritius,4.673615932,1271171.0
Madagascar,4.528380871,31964960.0
Guyana,4.5103302,831092.0
Albania,4.444447994,2791756.0
Guinea,4.026185036,14754779.0
Iceland,3.803010941,393404.0
Namibia,3.469111919,3030127.0
Niger,3.169957876,27032417.0
Bahamas,3.069679022,401282.0
Suriname,2.987767935,634438.0
Haiti,2.970693111,11772562.0
Chad,2.83140111,20299131.0
Togo,2.7535851,9515238.0
Lesotho,2.571767092,2337428.0
Montenegro,2.376257896,638481.0
Maldives,2.306210041,527801.0
Curacao,2.289628029,185482.0
Rwanda,2.033550024,14256573.0
Malawi,1.881479025,21655288.0
Malta,1.728765965,539612.0
South Sudan,1.695551991,11943410.0
Bhutan,1.657415986,791530.0
Fiji,1.445315957,928800.0
Sierra Leone,1.434283018,8642029.0
Barbados,1.365170956,282476.0
Somalia,1.319185019,19009155.0
Macao,1.056327939,720270.0
Eswatini,1.044643998,1242829.0
French Polynesia,0.922867,281816.0
Aruba,0.920643985,108076.0
Burundi,0.916664004,14047788.0
Liberia,0.85936898,5612813.0
Gambia,0.802774012,2759999.0
Belize,0.796027005,417077.0
Eritrea,0.742646992,3535610.0
Faroe Islands,0.72538799,55419.0
Sint Maarten (Dutch part),0.717644989,43372.0
East Timor,0.66811198,1400638.0
Antigua and Barbuda,0.665139973,93782.0
Seychelles,0.652571023,130436.0
Greenland,0.618963003,55864.0
Cape Verde,0.593786001,524878.0
Djibouti,0.564083993,1168726.0
Comoros,0.551649988,866632.0
Bermuda,0.550001025,64660.0
Saint Lucia,0.536908984,179751.0
Andorra,0.424663007,81955.0
Central African Republic,0.394681007,5330691.0
Turks and Caicos Islands,0.378841996,46563.0
Grenada,0.376971006,117218.0
Guinea-Bissau,0.342189014,2201360.0
Solomon Islands,0.294647992,819206.0
Saint Kitts and Nevis,0.259757012,46867.0
Saint Vincent and the Grenadines,0.255656987,100630.0
Samoa,0.245587006,218031.0
Palau,0.226098999,17719.0
Vanuatu,0.197079003,327786.0
British Virgin Islands,0.192506999,39498.0
Dominica,0.170857996,66226.0
Marshall Islands,0.154479995,37572.0
Tonga,0.152539998,104192.0
Bonaire Sint Eustatius and Saba,0.151881993,30699.0
Micronesia (country),0.150626004,113171.0
Anguilla,0.148084998,14623.0
Sao Tome and Principe,0.141779006,235548.0
Liechtenstein,0.131623998,39895.0
Cook Islands,0.080082998,13750.0
Kiribati,0.072456002,134521.0
Nauru,0.061390001,11968.0
Saint Pierre and Miquelon,0.055321999,5652.0
Wallis and Futuna,0.030508,11303.0
Montserrat,0.026579,4414.0
Tuvalu,0.01144,9669.0
Saint Helena,0.011391,5262.0
Niue,0.007627,1841.0
Christmas Island,0.0,
Antarctica,0.0,
